"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021700953","Al Horford","BOS",1326,31,67.3303167420814
"0021700974","Al Horford","BOS",2054,11,15.4235637779942
"0021701029","Al Horford","BOS",1875,21,32.256
"0021701047","Al Horford","BOS",1679,-10,-17.1530673019655
"0021701059","Al Horford","BOS",2006,4,5.74277168494516
"0021701086","Al Horford","BOS",1918,-5,-7.50782064650678
"0021701099","Al Horford","BOS",1909,11,16.5950759559979
"0021701107","Al Horford","BOS",1905,13,19.6535433070866
"0021701140","Al Horford","BOS",1888,8,12.2033898305085
"0021701162","Al Horford","BOS",2189,7,9.20968478757423
"0021701171","Al Horford","BOS",1875,-9,-13.824
"0021701202","Al Horford","BOS",1601,5,8.99437851342911
"0021701215","Al Horford","BOS",1899,-7,-10.6161137440758
"0021700001","Aron Baynes","BOS",1147,-12,-30.1307759372276
"0021700007","Aron Baynes","BOS",983,-7,-20.5086469989827
"0021700019","Aron Baynes","BOS",761,-3,-11.353482260184
"0021700051","Aron Baynes","BOS",1336,9,19.4011976047904
"0021700067","Aron Baynes","BOS",1421,10,20.2674173117523
"0021700078","Aron Baynes","BOS",1468,8,15.6948228882834
"0021700092","Aron Baynes","BOS",989,5,14.5601617795753
"0021700109","Aron Baynes","BOS",1363,13,27.4688187820983
"0021700129","Aron Baynes","BOS",1230,-7,-16.390243902439
"0021700138","Aron Baynes","BOS",941,10,30.605738575983
"0021700146","Aron Baynes","BOS",877,-6,-19.7035347776511
"0021700161","Aron Baynes","BOS",1373,-2,-4.19519300801165
"0021700170","Aron Baynes","BOS",1558,-1,-1.84852374839538
"0021700188","Aron Baynes","BOS",1229,10,23.433685923515
"0021700201","Aron Baynes","BOS",748,-4,-15.4010695187166
"0021700215","Aron Baynes","BOS",751,11,42.1837549933422
"0021700230","Aron Baynes","BOS",776,6,22.2680412371134
"0021700249","Aron Baynes","BOS",804,-1,-3.58208955223881
"0021700257","Aron Baynes","BOS",731,-3,-11.8194254445964
