"game_id","player","team","seconds","prob","h.prob.change","a.prob.change"
"0021700007","Abdel Nader","BOS",686,47.7071310744835,-0.00129714384995966,0.00129714384995966
"0021700019","Abdel Nader","BOS",418,39.6525394460044,-0.0451802564013803,0.0451802564013803
"0021700051","Abdel Nader","BOS",260,0.227970262608094,8.42362011280887e-05,-8.42362011280887e-05
"0021700092","Abdel Nader","BOS",299,12.286457874497,0.0822776591269977,-0.0822776591269977
"0021700109","Abdel Nader","BOS",784,0.635272183130075,0.00257046935989926,-0.00257046935989926
"0021700138","Abdel Nader","BOS",125,23.659456066801,0.0128698748239791,-0.0128698748239791
"0021700146","Abdel Nader","BOS",314,32.2206690498771,0.00678967823069987,-0.00678967823069987
"0021700170","Abdel Nader","BOS",507,56.2997881891102,-0.221461219163591,0.221461219163591
"0021700249","Abdel Nader","BOS",226,21.4711165982043,0.0867965885940447,-0.0867965885940447
"0021700269","Abdel Nader","BOS",189,0.347971911539281,0.000241355019220645,-0.000241355019220645
"0021700281","Abdel Nader","BOS",795,59.8087289431255,0.138813946366455,-0.138813946366455
"0021700356","Abdel Nader","BOS",421,31.1614585253738,-0.181922172605362,0.181922172605362
"0021700391","Abdel Nader","BOS",972,11.3657378402695,0.292689235898659,-0.292689235898659
"0021700423","Abdel Nader","BOS",65,7.41652635960341,-0.0364740837220081,0.0364740837220081
"0021700436","Abdel Nader","BOS",28,3.58912340416755,0.0198703717320358,-0.0198703717320358
"0021700468","Abdel Nader","BOS",694,39.9255284652522,0.375427895151126,-0.375427895151126
"0021700485","Abdel Nader","BOS",872,1.90472025278909,0.0403435751842159,-0.0403435751842159
"0021700517","Abdel Nader","BOS",1256,154.717134606662,-0.238405770638133,0.238405770638133
"0021700559","Abdel Nader","BOS",159,0.496358248679425,-0.0174834566792804,0.0174834566792804
"0021700614","Abdel Nader","BOS",107,21.0842780438952,0.053073546607543,-0.053073546607543
"0021700663","Abdel Nader","BOS",200,16.0466622281084,-0.0458545778308478,0.0458545778308478
"0021700709","Abdel Nader","BOS",437,51.4488564140175,-0.17207568291447,0.17207568291447
"0021700758","Abdel Nader","BOS",1698,51.1651189167917,0.285702236473938,-0.285702236473938
"0021700767","Abdel Nader","BOS",1608,76.5322108115316,-0.145247192792587,0.145247192792587
"0021700784","Abdel Nader","BOS",1187,103.92384181007,-0.273538396472967,0.273538396472967
"0021700798","Abdel Nader","BOS",855,0.686883201267266,0.004653564591481,-0.004653564591481
"0021700820","Abdel Nader","BOS",199,29.2338902741217,-0.0431395382973747,0.0431395382973747
"0021700835","Abdel Nader","BOS",632,93.6629700734004,-0.00390295431314625,0.00390295431314625
"0021700873","Abdel Nader","BOS",120,20.1887190147107,0.0232853355839697,-0.0232853355839697
"0021700898","Abdel Nader","BOS",110,0.640401969859022,-0.0231230360230986,0.0231230360230986
"0021700916","Abdel Nader","BOS",668,0.227563838806142,0.00928074580491235,-0.00928074580491235
"0021700953","Abdel Nader","BOS",720,110.472403970447,0.0179014095672615,-0.0179014095672615
"0021700998","Abdel Nader","BOS",463,34.1508049249853,-0.265337484997844,0.265337484997844
"0021701017","Abdel Nader","BOS",1435,75.2098027845615,0.170412027245148,-0.170412027245148
"0021701029","Abdel Nader","BOS",1415,186.342516306626,-0.0201597269886415,0.0201597269886415
"0021701047","Abdel Nader","BOS",1292,69.4317784937091,0.0158336353235363,-0.0158336353235363
"0021701059","Abdel Nader","BOS",1100,112.921977177206,0.318340076589352,-0.318340076589352
"0021701086","Abdel Nader","BOS",407,22.0911907069287,0.0822829790315346,-0.0822829790315346
"0021701099","Abdel Nader","BOS",728,44.8064856258527,0.168175734564487,-0.168175734564487
"0021701107","Abdel Nader","BOS",1002,148.235156336548,-0.335787209899418,0.335787209899418
"0021701121","Abdel Nader","BOS",944,62.9859713018354,0.258631889652431,-0.258631889652431
"0021701140","Abdel Nader","BOS",422,34.5659782731762,0.126475566601954,-0.126475566601954
"0021701162","Abdel Nader","BOS",640,25.438766783342,0.234315065336918,-0.234315065336918
"0021701171","Abdel Nader","BOS",319,6.48204363480161,0.185370595948708,-0.185370595948708
"0021701185","Abdel Nader","BOS",395,30.920760861645,-0.187686588802036,0.187686588802036
"0021701202","Abdel Nader","BOS",623,34.9277599792926,-0.280643814755863,0.280643814755863
"0021701215","Abdel Nader","BOS",179,1.18609012119193,-0.0250848510399148,0.0250848510399148
"0021701219","Abdel Nader","BOS",2315,72.7351814890102,0.0210769339294652,-0.0210769339294652
"0021700001","Al Horford","BOS",1925,103.309823607958,0.123574119238278,-0.123574119238278
"0021700007","Al Horford","BOS",2006,179.263926561021,-0.551540763116286,0.551540763116286
"0021700019","Al Horford","BOS",2185,193.079067734196,0.210584796503216,-0.210584796503216
"0021700051","Al Horford","BOS",1722,46.8251998467878,0.679361009426685,-0.679361009426685
"0021700067","Al Horford","BOS",2054,160.48998602717,-0.042722421768119,0.042722421768119
"0021700078","Al Horford","BOS",2053,201.538084075541,0.0195889295483496,-0.0195889295483496
"0021700092","Al Horford","BOS",1791,84.8625341837134,0.642107545968584,-0.642107545968584
"0021700109","Al Horford","BOS",1532,51.5719053211221,-0.18670248212464,0.18670248212464
"0021700129","Al Horford","BOS",2064,114.159553791263,-1.03400103956665,1.03400103956665
"0021700138","Al Horford","BOS",1733,176.692495872012,0.164646640216092,-0.164646640216092
"0021700146","Al Horford","BOS",1995,144.346563291306,0.20248098910691,-0.20248098910691
"0021700188","Al Horford","BOS",2002,136.142398300127,-0.405627187556206,0.405627187556206
