"game_type","game_id","away_team","home_team"
"season","0021700190","HOU","IND"
"season","0021700191","DAL","OKC"
"season","0021700192","SAC","WAS"
"season","0021700193","CLE","NYK"
"season","0021700194","MEM","MIL"
"season","0021700195","ATL","NOP"
"season","0021700196","LAL","PHX"
"season","0021700197","MIN","UTA"
"season","0021700198","DEN","POR"
"season","0021700199","ORL","GSW"
"season","0021700200","PHI","LAC"
"season","0021700201","BOS","BKN"
"season","0021700202","TOR","HOU"
"season","0021700203","SAS","DAL"
"season","0021700204","SAC","ATL"
"season","0021700205","WAS","MIA"
"season","0021700206","UTA","NYK"
"season","0021700207","CLE","CHA"
"season","0021700208","IND","MEM"
"season","0021700209","DET","MIL"
"season","0021700210","SAS","MIN"
"season","0021700211","TOR","NOP"
"season","0021700212","CHI","OKC"
"season","0021700213","ORL","POR"
"season","0021700214","PHI","LAL"
"season","0021700215","GSW","BOS"
"season","0021700216","HOU","PHX"
"season","0021700217","DET","IND"
"season","0021700218","MIA","WAS"
"season","0021700219","UTA","BKN"
"season","0021700220","LAC","CLE"
"season","0021700221","NYK","TOR"
"season","0021700222","CHA","CHI"
"season","0021700223","OKC","SAS"
"season","0021700224","MIN","DAL"
"season","0021700225","POR","SAC"
"season","0021700226","NOP","DEN"
"season","0021700227","PHX","LAL"
"season","0021700228","LAC","CHA"
"season","0021700229","UTA","ORL"
"season","0021700230","BOS","ATL"
"season","0021700231","GSW","PHI"
"season","0021700232","HOU","MEM"
"season","0021700233","MIL","DAL"
"season","0021700234","SAC","POR"
"season","0021700235","IND","MIA"
"season","0021700236","GSW","BKN"
"season","0021700237","WAS","TOR"
"season","0021700238","DET","MIN"
"season","0021700239","CHI","PHX"
"season","0021700240","DEN","LAL"
"season","0021700241","MIN","CHA"
"season","0021700242","CLE","DET"
"season","0021700243","IND","ORL"
"season","0021700244","UTA","PHI"
"season","0021700245","LAC","NYK"
"season","0021700246","POR","MEM"
"season","0021700247","WAS","MIL"
"season","0021700248","OKC","NOP"
"season","0021700249","BOS","DAL"
"season","0021700250","ATL","SAS"
"season","0021700251","DEN","SAC"
"season","0021700252","CHI","LAL"
"season","0021700253","WAS","CHA"
"season","0021700254","BKN","CLE"
"season","0021700255","POR","PHI"
"season","0021700256","LAC","ATL"
"season","0021700257","BOS","MIA"
"season","0021700258","TOR","NYK"
"season","0021700259","DEN","HOU"
"season","0021700260","DAL","MEM"
"season","0021700261","ORL","MIN"
"season","0021700262","SAS","NOP"
"season","0021700263","GSW","OKC"
"season","0021700264","MIL","PHX"
"season","0021700265","CHI","UTA"
"season","0021700266","LAL","SAC"
"season","0021700267","POR","BKN"
"season","0021700268","NYK","ATL"
"season","0021700269","ORL","BOS"
"season","0021700270","CHA","CLE"
"season","0021700271","TOR","IND"
"season","0021700272","MIA","MIN"
"season","0021700273","DET","OKC"
"season","0021700274","MEM","DEN"
"season","0021700275","NOP","PHX"
"season","0021700276","CHI","GSW"
"season","0021700277","SAS","CHA"
"season","0021700278","ORL","PHI"
"season","0021700279","POR","WAS"
"season","0021700280","TOR","ATL"
"season","0021700281","BOS","IND"
"season","0021700282","NYK","HOU"
"season","0021700283","OKC","DAL"
"season","0021700284","NOP","GSW"
"season","0021700285","MIL","UTA"
"season","0021700286","LAC","SAC"
"season","0021700287","MIA","CHI"
"season","0021700288","PHX","MIN"
"season","0021700289","BKN","MEM"
"season","0021700290","ORL","IND"
"season","0021700291","CLE","PHI"
"season","0021700292","DET","BOS"
"season","0021700293","POR","NYK"
"season","0021700294","BKN","HOU"
"season","0021700295","DAL","SAS"
"season","0021700296","SAC","GSW"
"season","0021700297","LAL","LAC"
"season","0021700298","MIA","CLE"
"season","0021700299","PHX","CHI"
"season","0021700300","WAS","MIN"
"season","0021700301","DEN","UTA"
"season","0021700302","MIL","SAC"
"season","0021700303","PHX","DET"
"season","0021700304","OKC","ORL"
"season","0021700305","WAS","PHI"
"season","0021700306","MIA","NYK"
"season","0021700307","CHA","TOR"
"season","0021700308","IND","HOU"
"season","0021700309","MIN","NOP"
"season","0021700310","BKN","DAL"
"season","0021700311","MEM","SAS"
"season","0021700312","GSW","LAL"
"season","0021700313","CLE","ATL"
"season","0021700314","PHI","BOS"
"season","0021700315","CHI","DEN"
"season","0021700316","MIL","POR"
"season","0021700317","UTA","LAC"
"season","0021700318","GSW","ORL"
"season","0021700319","IND","TOR"
"season","0021700320","DET","WAS"
"season","0021700321","CHA","MIA"
"season","0021700322","SAC","CHI"
"season","0021700323","SAS","MEM"
"season","0021700324","MIN","OKC"
"season","0021700325","NOP","UTA"
"season","0021700326","PHX","BOS"
"season","0021700327","LAC","DAL"
"season","0021700328","ATL","BKN"
"season","0021700329","MEM","CLE"
"season","0021700330","DET","PHI"
"season","0021700331","SAC","MIL"
"season","0021700332","LAL","DEN"
"season","0021700333","NOP","POR"
"season","0021700334","ORL","NYK"
"season","0021700335","GSW","MIA"
"season","0021700336","LAC","MIN"
"season","0021700337","SAS","OKC"
"season","0021700338","HOU","LAL"
"season","0021700339","ORL","CHA"
"season","0021700340","NYK","IND"
"season","0021700341","PHX","PHI"
"season","0021700342","BKN","ATL"
"season","0021700343","MIL","BOS"
"season","0021700344","CLE","CHI"
"season","0021700345","MIN","MEM"
"season","0021700346","GSW","NOP"
"season","0021700347","DEN","DAL"
"season","0021700348","DET","SAS"
"season","0021700349","WAS","UTA"
"season","0021700350","PHX","TOR"
"season","0021700351","UTA","OKC"
"season","0021700352","WAS","POR"
"season","0021700353","SAC","CLE"
"season","0021700354","CHI","IND"
"season","0021700355","ATL","ORL"
"season","0021700356","DAL","BOS"
"season","0021700357","MEM","NYK"
"season","0021700358","GSW","CHA"
"season","0021700359","DET","MIL"
"season","0021700360","DEN","NOP"
"season","0021700361","MIA","SAS"
"season","0021700362","MIN","LAC"
"season","0021700363","LAL","PHI"
"season","0021700364","WAS","PHX"
"season","0021700365","OKC","BKN"
"season","0021700366","HOU","UTA"
"season","0021700367","CHI","CHA"
"season","0021700368","GSW","DET"
"season","0021700369","CLE","IND"
"season","0021700370","DEN","ORL"
"season","0021700371","TOR","MEM"
"season","0021700372","DAL","MIL"
"season","0021700373","SAC","NOP"
"season","0021700374","BOS","SAS"
"season","0021700375","WAS","LAC"
"season","0021700376","MIA","BKN"
"season","0021700377","LAL","CHA"
"season","0021700378","ORL","ATL"
"season","0021700379","PHI","CLE"
"season","0021700380","NYK","CHI"
"season","0021700381","UTA","MIL"
"season","0021700382","OKC","MEM"
"season","0021700383","SAS","PHX"
"season","0021700384","HOU","POR"
"season","0021700385","TOR","SAC"
"season","0021700386","BOS","DET"
"season","0021700387","DEN","IND"
"season","0021700388","DAL","MIN"
"season","0021700389","PHI","NOP"
"season","0021700390","ATL","NYK"
"season","0021700391","BOS","CHI"
"season","0021700392","NOP","HOU"
"season","0021700393","MIA","MEM"
"season","0021700394","CHA","OKC"
"season","0021700395","POR","GSW"
"season","0021700396","TOR","LAC"
"season","0021700397","ATL","CLE"
"season","0021700398","DEN","DET"
"season","0021700399","LAL","NYK"
"season","0021700400","WAS","BKN"
"season","0021700401","PHI","MIN"
"season","0021700402","SAS","DAL"
"season","0021700403","PHX","SAC"
"season","0021700404","OKC","IND"
"season","0021700405","LAC","ORL"
"season","0021700406","MEM","WAS"
"season","0021700407","DEN","BOS"
"season","0021700408","POR","MIA"
"season","0021700409","UTA","CHI"
"season","0021700410","MIL","NOP"
"season","0021700411","TOR","PHX"
"season","0021700412","CHA","HOU"
"season","0021700413","DET","ATL"
"season","0021700414","NYK","BKN"
"season","0021700415","LAL","CLE"
"season","0021700416","SAC","MIN"
"season","0021700417","DAL","GSW"
"season","0021700418","MIA","CHA"
"season","0021700419","DET","IND"
"season","0021700420","POR","ORL"
"season","0021700421","OKC","PHI"
"season","0021700422","LAC","WAS"
"season","0021700423","UTA","BOS"
"season","0021700424","BKN","TOR"
"season","0021700425","ATL","MEM"
"season","0021700426","CHI","MIL"
"season","0021700427","NOP","DEN"
"season","0021700428","SAS","HOU"
"season","0021700429","POR","CHA"
"season","0021700430","UTA","CLE"
"season","0021700431","OKC","NYK"
"season","0021700432","LAC","MIA"
"season","0021700433","MIL","HOU"
"season","0021700434","PHX","MIN"
"season","0021700435","DAL","SAS"
"season","0021700436","BOS","MEM"
"season","0021700437","SAC","TOR"
"season","0021700438","ORL","DET"
"season","0021700439","IND","BKN"
"season","0021700440","CLE","WAS"
"season","0021700441","NYK","CHA"
"season","0021700442","BOS","IND"
"season","0021700443","MIA","ATL"
"season","0021700444","PHI","CHI"
"season","0021700445","UTA","HOU"
"season","0021700446","POR","MIN"
"season","0021700447","DEN","OKC"
"season","0021700448","PHX","DAL"
"season","0021700449","LAC","SAS"
"season","0021700450","GSW","LAL"
"season","0021700451","SAC","PHI"
"season","0021700452","NOP","WAS"
"season","0021700453","CLE","MIL"
"season","0021700454","TOR","CHA"
"season","0021700455","IND","ATL"
"season","0021700456","MIA","BOS"
"season","0021700457","SAC","BKN"
"season","0021700458","ORL","CHI"
"season","0021700459","LAL","HOU"
"season","0021700460","UTA","OKC"
"season","0021700461","DET","DAL"
"season","0021700462","MIN","DEN"
"season","0021700463","SAS","POR"
"season","0021700464","MEM","GSW"
"season","0021700465","PHX","LAC"
"season","0021700466","CHI","CLE"
"season","0021700467","TOR","PHI"
"season","0021700468","BOS","NYK"
"season","0021700469","MEM","PHX"
"season","0021700470","SAS","UTA"
"season","0021700471","NYK","DET"
"season","0021700472","NOP","ORL"
"season","0021700473","WAS","BKN"
"season","0021700474","DAL","MIA"
"season","0021700475","LAC","HOU"
"season","0021700476","CHA","MIL"
"season","0021700477","ATL","OKC"
"season","0021700478","DEN","POR"
"season","0021700479","LAL","GSW"
"season","0021700480","PHI","TOR"
"season","0021700481","MIL","CHA"
"season","0021700482","BKN","IND"
"season","0021700483","ORL","WAS"
"season","0021700484","DAL","ATL"
"season","0021700485","CHI","BOS"
"season","0021700486","NOP","MIA"
"season","0021700487","LAC","MEM"
"season","0021700488","OKC","UTA"
"season","0021700489","DEN","GSW"
"season","0021700490","MIN","PHX"
"season","0021700491","POR","LAL"
"season","0021700492","SAS","SAC"
"season","0021700493","PHI","NYK"
"season","0021700494","CLE","GSW"
"season","0021700495","WAS","BOS"
"season","0021700496","HOU","OKC"
"season","0021700497","MIN","LAL"
"season","0021700498","IND","DET"
"season","0021700499","TOR","DAL"
"season","0021700500","ORL","MIA"
"season","0021700501","CHI","MIL"
"season","0021700502","BKN","SAS"
"season","0021700503","UTA","DEN"
"season","0021700504","MEM","PHX"
"season","0021700505","SAC","LAC"
"season","0021700506","BOS","CHA"
"season","0021700507","DAL","IND"
"season","0021700508","WAS","ATL"
"season","0021700509","NYK","CHI"
"season","0021700510","DEN","MIN"
"season","0021700511","BKN","NOP"
"season","0021700512","TOR","OKC"
"season","0021700513","CLE","SAC"
"season","0021700514","UTA","GSW"
"season","0021700515","MEM","LAL"
"season","0021700516","DET","ORL"
"season","0021700517","HOU","BOS"
"season","0021700518","MIN","MIL"
"season","0021700519","NYK","SAS"
"season","0021700520","PHI","POR"
"season","0021700521","HOU","WAS"
"season","0021700522","ATL","TOR"
"season","0021700523","BKN","MIA"
"season","0021700524","IND","CHI"
"season","0021700525","DAL","NOP"
"season","0021700526","MIL","OKC"
"season","0021700527","PHX","SAC"
"season","0021700528","CHA","GSW"
